artwork,imageUrl,caption,g
https://w3id.org/spice/imma/documentation/the-troubles-an-artists-document-of-ulster-72,https://imma.ie/wp-content/uploads/2018/11/5716.jpg,"Les Levine, The Troubles: an Artist’s Document of Ulster, 1972, Archival cibachrome, 27.9 x 35.6 cm, Collection Irish Museum of Modern Art, Donated by the artist in memory of his parents Muriel McMahon and Charles Levine, 2010 ",artworks/the-troubles-an-artists-document-of-ulster-72.jsonld
https://w3id.org/spice/imma/documentation/setting-out-2,https://imma.ie/wp-content/uploads/2021/11/9467.jpg,"Anne Tallentire, Setting Out 2, 2020, Builders string, flathead screws, tape, variable, Collection Irish Museum of Modern Art, Purchase, 2020, 2020 ",artworks/setting-out-2.jsonld
https://w3id.org/spice/imma/documentation/drawing-with-vanishing-point-4,https://imma.ie/wp-content/uploads/2018/11/903.jpg,"Mark Manders, Drawing with Vanishing Point, 2005, Pencil on paper, 50 x 65 cm, Collection Irish Museum of Modern Art, Donation, the artist, 2005 ",artworks/drawing-with-vanishing-point-4.jsonld
https://w3id.org/spice/imma/documentation/approaching-the-yellow-mountain,https://imma.ie/wp-content/uploads/2018/11/28.jpg,"Patrick Hall, Approaching the Yellow Mountain, 2007, Ink and watercolour on paper, 36.5 x 59.5 cm, Collection Irish Museum of Modern Art, Donation, 2008 ",artworks/approaching-the-yellow-mountain.jsonld
https://w3id.org/spice/imma/documentation/menhir-bloody-sunday,https://imma.ie/wp-content/uploads/2018/11/5268.jpg,"Anne Madden, Menhir (Bloody Sunday), 1976, Acrylic on cotton duck canvas, 195 x 114 cm, Collection Irish Museum of Modern Art, Donation, 2010 ",artworks/menhir-bloody-sunday.jsonld
https://w3id.org/spice/imma/documentation/self-portrait-with-blue-red-and-green-8,https://imma.ie/wp-content/uploads/2019/10/222.jpg,"Brian Bourke, Self Portrait with Blue, Red and Green, 2004, Mixed media on paper, 65 x 56 cm, Collection Irish Museum of Modern Art, Purchase, 2005 ",artworks/self-portrait-with-blue-red-and-green-8.jsonld
https://w3id.org/spice/imma/documentation/its-not-so-much-fun,https://imma.ie/wp-content/uploads/2020/01/990.jpg,"Mary Farl Powers, It’s Not So Much Fun, 1973, Colour etching, 44 x 30 cm, Collection Irish Museum of Modern Art, Donation, Powers Family, 2009 ",artworks/its-not-so-much-fun.jsonld
https://w3id.org/spice/imma/documentation/two-windows,https://imma.ie/wp-content/uploads/2019/10/2072.jpg,"Basil Blackshaw, Two Windows, 2002, Acrylic, pencil on canvas, 152 x 244 cm, Collection Irish Museum of Modern Art, Heritage Gift by the Family of the late Vincent Ferguson, 2008 ",artworks/two-windows.jsonld
https://w3id.org/spice/imma/documentation/the-troubles-an-artists-document-of-ulster-25,https://imma.ie/wp-content/uploads/2018/11/5669.jpg,"Les Levine, The Troubles: an Artist’s Document of Ulster, 1972, Archival cibachrome, 27.9 x 35.6 cm, Collection Irish Museum of Modern Art, Donated by the artist in memory of his parents Muriel McMahon and Charles Levine, 2010 ",artworks/the-troubles-an-artists-document-of-ulster-25.jsonld
https://w3id.org/spice/imma/documentation/rhythm-2,https://imma.ie/wp-content/uploads/2018/11/843.jpg,"Marina Abramović, Rhythm 2, 1974, Framed black and white photographs (diptych) with framed letter press text panel, Image framed (each) 100.3 x 75.6 cm Text framed 26 x 18.4 cm, Collection Irish Museum of Modern Art, Purchase, 1995 ",artworks/rhythm-2.jsonld
https://w3id.org/spice/imma/documentation/far-rockaway-n-y-c,https://imma.ie/wp-content/uploads/2018/11/5081.jpg,"John Harrington, Far Rockaway, N.Y.C, 1967, Black &amp; white photograph, 15.6 x 23.8 cm Framed: 30.4 x 38 cm, Collection Irish Museum of Modern Art, Donation, Novak/O'Doherty Collection, 2015 ",artworks/far-rockaway-n-y-c.jsonld
https://w3id.org/spice/imma/documentation/head-of-an-irishman-2,https://imma.ie/wp-content/uploads/2020/08/7594.jpg,"Lucian Freud, Head of an Irishman, 1999, Etching, Plate: 74.3 x 56.5 cm Sheet: 97.2 x 78.1 cm Framed: 107 x 87 x 2.5 cm, Collection Irish Museum of Modern Art, On Loan, Private Collection ",artworks/head-of-an-irishman-2.jsonld
https://w3id.org/spice/imma/documentation/horseman,https://imma.ie/wp-content/uploads/2018/11/5098.jpg,"Vivian E. Browne, Horseman, 1974, Etching with aquatint., 76 x 56.2 cm, Collection Irish Museum of Modern Art, Donation, Novak/O'Doherty Collection, 2015 ",artworks/horseman.jsonld
https://w3id.org/spice/imma/documentation/fading-dreams,https://imma.ie/wp-content/uploads/2019/10/298.jpg,"Willie Doherty, Fading Dreams, 1989, Black and white photographs with text (3 panels), 76 x 102 cm (each), Collection Irish Museum of Modern Art, Purchase, 1991 ",artworks/fading-dreams.jsonld
https://w3id.org/spice/imma/documentation/meaning-of-greatness,https://imma.ie/wp-content/uploads/2021/03/8920.jpg,"Sarah Pierce, Meaning of Greatness, 2006, 3 large curtains, 1 rope piece, 8 framed drawings, 8 plaster tubes, latex piece, plaster pieces, 6969 cast, photographs, letters, Collection Irish Museum of Modern Art, Purchase supported by IMMA 1000, 2017 ",artworks/meaning-of-greatness.jsonld
https://w3id.org/spice/imma/documentation/beginning,https://imma.ie/wp-content/uploads/2019/10/5109.jpg,"Allan D'Arcangelo, Beginning, 1975, Lithograph with silkscreen and embossing, 76.5 x 56.8 cm Framed: 88 x 67.5 cm, Collection Irish Museum of Modern Art, Donation, Novak/O'Doherty Collection, 2015 ",artworks/beginning.jsonld
