hash,id,material
5b9d387a1b21dd04a76210082279fb3d,the-troubles-an-artists-document-of-ulster-72,Archival cibachrome
e00f4b9200f65f388889fcc66087415b,female-nude-2,India Ink Wash Drawings
ae98ee5815b859cccf49d516255ae16e,eye-of-the-storm,Acrylic on canvas
9d937389721881dbdb57659d3b8e82df,setting-out-2,"Builders string, flathead screws, tape"
80a4b622dbe237e763c13c2fd786cf7e,drawing-with-vanishing-point-4,Pencil on paper
eb45175b14829cb70fead5a1ce09b74b,approaching-the-yellow-mountain,Ink and watercolour on paper
5e630002de63ef142f2f49257364b5a4,menhir-bloody-sunday,Acrylic on cotton duck canvas
d851f04d5218c6844da7e3d274066511,heinrich-hoerle-draws-hein-domgorgen,Gelatin silver print
324f9dd9fcfe42e3761a34e88d803179,self-portrait-with-blue-red-and-green-8,Mixed media on paper
abd69fad71ecaa4f2974bb5d8ace240a,its-not-so-much-fun,Colour etching
3ce336a48d8a8edbfe725d45c098cd58,two-windows,"Acrylic, pencil on canvas"
b4dc8cfed7a9da1d0b88665a71df2155,yo-no-celebro-ni-conmemoro-guerras,Screenprint
69d8bbd8782ce099c9de78ab8b13b189,la-bruja-azul,Screenprint
8f614d0d9f8ad5deeda6bb179b4be600,the-troubles-an-artists-document-of-ulster-25,Archival cibachrome
a1157e7583e6e290623c4fc76f5df445,rhythm-2,Framed black and white photographs (diptych) with framed letter press text panel
89ff61e697b208ffd531d8a1495f4e16,far-rockaway-n-y-c,Black &amp; white photograph
54041c0c0de96e0642cabcac63a7e041,head-of-an-irishman-2,Etching
24c5f0f72d8d223697bb985a2ad1ad59,horseman,Etching with aquatint.
2c3de5922936fe709726e655f943eddb,fading-dreams,Black and white photographs with text (3 panels)
31dd183fc26231bc24fac054733a5a65,mausoleum-under-construction-after-a-photograph-by-camilo-jose-vergara,Four-colour screenprint with mezzotint screens on hand-made paper
dda907eb754acd442b0a6947e10ea4df,meaning-of-greatness,"3 large curtains, 1 rope piece, 8 framed drawings, 8 plaster tubes, latex piece, plaster pieces, 6969 cast, photographs, letters"
43f29f0e43556b6ed1ac9b9e2c3dcefa,beginning,Lithograph with silkscreen and embossing
51531397e6663a64f705bec07736c72b,landscape-through-glass-iv,Oil on canvas
d07c30f20c9d63b303e6ef5c3437cee1,not-i-an-adaptation-of-the-1972-play,"Six-channel video (colour, sound)"
44ef782a671aade440e129e53aadfe56,darkroom,Archival pigment giclée on Hahnemühle Archival Fine Art paper
86321422a60d7e3ae42f19f090092dfe,drawing-for-portrait-of-marcel-duchampstudy-for-duchamp-portrait-first-lead-after-cardiogram-taken-as-physician,Pencil on paper
fe7063b15bd299c0c4404e385a5835ee,blitzed-london,Oil on board
8a05a24e6d702bdb6c663392d7f9b853,three-steps-towards-the-sea,"Leather bound book, wood, 3 bronze sculptures"
6fa8eec964c5e9c236afcac47c5a7445,working-drawing-for-body-of-thought-no-i-bt-9,Pencil on squared paper
2f13a13fb7e19e5791712ee11a826d91,the-wild-geese-iii,Oil on canvas
1ef37b0c131cb7f295d3439263698860,hill-in-three-aspects,Oil on canvas
bc3e82269fafddbf8cfb8df71e99be84,barbara-i,Video
b730f853d669776d7aea94c9e121a735,young-boy-and-crucifix,Etching
a50bcfc69e57549935c39eed0978b702,standing-figure,Bronze and stone
191a6d02731de0e156d3988ee9bf0c75,mooncatcher,Conte and wash on paper
c44a73a1bcc0c5d5cc4328ba4b843320,the-approach,"Woolen fabric, silk, Vetiver essential oil"
94b57b0eaf50e8420da8052484b98e9f,line-of-retreat,Mixed media on paper
1d5b40da934ddee8151ba18dcfcb0b55,mother-and-twins,Oil on board
71e7fa5f4a688e2037bba162c48270a7,uno-city,Blind embossed print
6b18bcc14061272d6829263d3f9126a4,scene-ii,Mixed media in box
d9cf608511c5928149b55af35337fbd7,greenleaf-portfolio,Etching
144c0a122dc0f0a059f5efed5c19c821,out-here-iii,Oil on canvas over board
b1f751eb16fa97e87166f608d01fd0bc,a-memory-of-the-players-in-a-mirror-at-midnight-pomes-penyeach,Etching
1185edb53f2eeb935e1ac2d4ec0850f4,melancolia,Lithograph
40f7bb009ec415f558d1337ee180e6ba,yes-folks-its-official,Ink and pencil on tracing paper over found flip chart notes
a83ac5cbfcff2f6f2ea3d20199fbe30a,the-troubles-an-artists-document-of-ulster-75,Archival cibachrome
0cfc1444d5a430de18045f22c83c4953,porch-provincetown-evening,Chromogenic print
77a30a046e1fa990d15aa4ec2bb47fd6,carnival-in-the-snow-badgastein-austria,Gelatin silver print
eb8a16fd52335c8039eec31c3452b270,aids-is-not-over,cyanotype print
787cb2ea945ca0c9923d9bc05728ea13,symbol-for-a-year-time-place-situation,Watercolour and pencil on paper with mixed media
ed7fb86743990971e8dfd91700cfdac6,red-loop,Oil and acrylic on paper
6b3dfd5ec9e6f448db058f0b8183a02b,breed-to-come,cyanotype print
d9b16b7b437c49d89892192b837aafb1,studies-for-webs-backlight-seris-iii,"Ink, pigment, acrylic on paper"
d9f47939e67eb1f119368f5bfa48306c,revolucion,Etching and woodcut
da0a1f514fe5b5c7ee48cede1b1fbf1b,signage-for-a-35-floor-social-centre,"Aluminium, foam ex, stainless steel"
34e8924f1fef20e850d4abddcd0c815f,back-of-snowman,Bronze and crayon
fb23ff586edd6f70f767000006e4254e,inis-toirr-aran-dance-exhibition-copy-colour-slides,"Slides, sound"
feeb610879d54384fa0264d9112fd406,study-for-between-earth-and-sky-ii-ref-87-d012,Drawing
e7462738db67efe6523b746c8a05c537,rotoreliefs-optical-disks,"Set of 12 offset lithograph in colors, on both sides of six cardboard disks, contained in original plastic holder"
3410e2b346bccec93db5a3bbd016c89a,adam-and-eve-in-the-garden,"Aubusson Tapestry, Atelier Tabard Frères et Soeurs"
4619d574b1f40a8c1063a923e8640da2,untitled-24,Acrylic on Canvas
8df959d272feaf0d6718b946a35749bc,still-life-with-oil-lamp,Oil on board
f9f09ea0876841b8c52fefb63de101cf,stranger,Coloured pencil on paper
55c9157672c57a138ed308bba928bce7,between-the-eyes-t8,Pencil on double sided poster
e7e6a72e8cab04c361844b6d8fad6e21,untitled-71,Cast paper
b307026cf3a1b182693fb56b374b103d,the-egyptian-book,Etching
bdd0791ecbecbaa5188c13346eb2b273,earth-shelters-iii,Carborundum
5233a41fdc7fb5f48dc15e7fee85d7df,escaped-animals,"Vinyl, aluminium and steel"
89eca9b68b7e76aa58f82231ddefdd96,goodbye-old-paint,Mixed Media
